Product_Name,Product_Price,Product_Reviews
Philips Hue A19 LED Smart Light Bulb,134.99,"16,218"
"LEVOIT Air Purifiers for Home Large Room Up to 1875 Ft² with Washable Pre-Filter, AHAM VERIFIDE, Air Quality Monitor, HEPA Sleep Mode for Allergies, Pet Hair in Bedroom, Vital 200S-P, White",159.88,"13,375"
"Shark Matrix Clean | Robot Vacuum Cleaner with Powerful Suction for Pet Hair, Rugs, Carpets & Hard Floors | Self-Empty Base | 60-Day Capacity | Voice Control | LiDAR Navigation | Cool Grey | AV2511AE​",299.99,"8,401"
iRobot Roomba Plus 405 (G181) 2in1 Vacuum & Mop Robot with AutoWash Dock,499.00,600
"Kasa Smart Light Switch HS200P3, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Compatible with Alexa and Google Home, UL Certified, No Hub Required, 3 Count -Pack of 1 , White",33.99,"26,805"
Philips Hue Smart Slim 6 Inch LED Downlight,54.97,645
